Dataset,PointsNo,QT_FoundPoints,QuadTreeBuildTime,QuadTreeQueryTime,KD_FoundPoints,KDTreeBuildTime,KDTreeQueryTime
rozkład jednostajny,100,9,0.0005056999999979439,1.9399999999336615e-05,9,0.0001294999999998936,2.1400000001392527e-05
rozkład jednostajny,1000,73,0.007888700000002302,0.0001029000000016822,73,0.0017361999999998545,0.00010799999999733245
rozkład jednostajny,10000,464,0.11024920000000193,0.0006297000000010655,464,0.046317200000000724,0.0005933999999996331
rozkład jednostajny,100000,5992,1.4756634999999996,0.007727199999997936,5992,0.5861679000000031,0.008072099999999693
