Dataset,PointsNo,QT_FoundPoints,QuadTreeBuildTime,QuadTreeQueryTime,KD_FoundPoints,KDTreeBuildTime,KDTreeQueryTime
współliniowe,100,28,0.0008677999999981978,4.949999999936949e-05,28,0.00011740000000060036,4.269999999806373e-05
współliniowe,1000,87,0.014948600000000312,0.00015970000000109508,87,0.001511700000001781,0.00012519999999938136
współliniowe,10000,1054,0.21450360000000046,0.0016935000000017908,1054,0.04263299999999859,0.0012883999999999673
współliniowe,100000,18906,2.9821051000000005,0.03187969999999929,18906,0.4767501000000003,0.024358000000000324
