Dataset,PointsNo,QT_FoundPoints,QuadTreeBuildTime,QuadTreeQueryTime,KD_FoundPoints,KDTreeBuildTime,KDTreeQueryTime
kwadrat (boki+przekątne),100,7,0.0005969000000014546,2.260000000120499e-05,7,0.00012549999999933448,2.309999999994261e-05
kwadrat (boki+przekątne),1000,79,0.011171400000002052,0.00013309999999933098,79,0.0015764000000011436,0.00010280000000051359
kwadrat (boki+przekątne),10000,931,0.18156319999999937,0.0013532999999981143,931,0.020652999999999366,0.0010712999999995532
kwadrat (boki+przekątne),100000,9398,2.429715100000001,0.015121099999998222,9398,0.49020920000000245,0.011804200000000264
