Dataset,PointsNo,QT_FoundPoints,QuadTreeBuildTime,QuadTreeQueryTime,KD_FoundPoints,KDTreeBuildTime,KDTreeQueryTime
siatka,100,4,0.0005186999999970965,2.86000000002673e-05,4,0.00012080000000125324,1.6200000001020953e-05
siatka,961,48,0.0072256000000017195,6.989999999973406e-05,48,0.0015315999999998553,7.120000000071514e-05
siatka,10000,378,0.11159950000000052,0.0006278000000001782,378,0.01933430000000058,0.0005148000000012587
siatka,99856,3481,1.3507660000000001,0.0039277000000002005,3481,0.33959330000000065,0.006347999999999132
