Dataset,PointsNo,QT_FoundPoints,QuadTreeBuildTime,QuadTreeQueryTime,KD_FoundPoints,KDTreeBuildTime,KDTreeQueryTime
rozkład normalny,100,6,0.0005844000000010396,2.179999999896154e-05,6,0.00012879999999881875,1.6200000001020953e-05
rozkład normalny,1000,137,0.008921399999998414,0.0002078000000018676,137,0.0018075999999993542,0.00020950000000041769
rozkład normalny,10000,1127,0.11957590000000096,0.0014348000000019567,1127,0.024864000000000885,0.0013594999999995139
rozkład normalny,100000,17069,1.7182285000000004,0.021284100000000805,17069,0.6067238999999987,0.022501300000000057
