Dataset,PointsNo,QT_FoundPoints,QuadTreeBuildTime,QuadTreeQueryTime,KD_FoundPoints,KDTreeBuildTime,KDTreeQueryTime
obwód prostokąta,100,6,0.0005610999999987598,1.8100000001908256e-05,6,0.00012159999999994398,1.689999999854308e-05
obwód prostokąta,1000,49,0.010851000000002387,8.520000000089567e-05,49,0.0014707000000022674,7.000000000090267e-05
obwód prostokąta,10000,537,0.17707710000000176,0.0009040999999996302,537,0.018738500000001324,0.0007052999999999088
obwód prostokąta,100000,4917,2.4061277000000008,0.008016399999998924,4917,0.45205559999999956,0.006511000000001488
