Dataset,PointsNo,QT_FoundPoints,QuadTreeBuildTime,QuadTreeQueryTime,KD_FoundPoints,KDTreeBuildTime,KDTreeQueryTime
klastry,99,26,0.0007863999999990767,3.609999999909519e-05,26,0.00012840000000124974,3.560000000035757e-05
klastry,999,289,0.010733600000001786,0.0003205999999984499,289,0.0017543999999993787,0.00033129999999914617
klastry,9999,1788,0.13398159999999848,0.0021151000000010356,1788,0.024777600000000177,0.0023336000000000467
klastry,99999,18764,1.7353739,0.02166279999999965,18764,0.5050908000000001,0.022908099999999987
